AUNumber,InstName,Category,IUNumber,IU,CountyName,StatusDescription,EffectiveDate,PhoneNumber,PhoneNumberExtn,WebAddress,MailingAddressLine1,MailingAddressLine2,MailingCity,MailingState,MailingZipCode,MailingZipCodeExtn,LocationAddressLine1,LocationAddressLine2,LocationCity,LocationState,LocationZipCode,LocationZipCodeExtn,Title,Salutation,FirstName,MiddleInitial,LastName,Suffix,AdminPhoneNumber,AdminPhoneNumberExtn,CommissionStartDate,CommissionExpirationDate,
372223637,(PANG) Pennsylvania National Guard Counterdrug Program,Act 48 Independent Provider,,,Dauphin,Open,06/07/2007,(717)861-2493,,http://www.counterdrug.org,BLG 8-65,Fort Indiantown Gap,Annville,PA,17003,5002,BLG 8-65,Fort Indiantown Gap,Annville,PA,17003,5002,,,,,,,,,,,
300070001,1 2 GROW ON CHILDCARE AND PRESCHOOL INC,Miscellaneous,,,Blair,Open,10/18/2002,(814)944-8330,,,231 Howard Avenue,,Altoona,PA,16601,,231 Howard Avenue,,Altoona,PA,16601,,Director,Ms,MICHELE,A,LEPORE,,,,,,
397513876,"1-2-3 Bingo Driving School, LLC",Private Driver Training School,26,Philadelphia IU 26,Philadelphia,Open,07/27/2011,(215)821-7860,,,542 West Duncannon Ave 1st Floor,,Philadelphia,PA,19120,,542 West Duncannon Ave 1st Floor,,Philadelphia,PA,19120,,Director,,Victor,V,Gill,,(215)821-7860,,,,
396511436,123 Back to Basics LLC,Miscellaneous,,,Philadelphia,Open,04/23/2015,(215)724-2134,,,1557 South 58th St,,Philadelphia,PA,19143,,1557 South 58th St,,Philadelphia,PA,19143,,Director,Ms,Robin,T,Johne,,(215)724-2134,,,,
380099530,"1ST Class Driving School, Inc.",Private Driver Training School,23,Montgomery County IU 23,Montgomery,Open,03/19/2009,(215)740-2841,,,804 Monroe Drive,,Harleysville,PA,19438,,804 Monroe Drive,,Harleysville,PA,19438,,Director,,, ,Vacant,,(215)469-0099,,,,
380099530,"1ST Class Driving School, Inc.",Private Driver Training School,23,Montgomery County IU 23,Montgomery,Open,03/19/2009,(215)740-2841,,,804 Monroe Drive,,Harleysville,PA,19438,,804 Monroe Drive,,Harleysville,PA,19438,,Director,,Mostafa, ,Jamal,,(215)740-2841,,,,
360229259,2023 Market Street Daycare Holdings LLC,Miscellaneous,,,Dauphin,Open,04/18/2015,(717)525-8034,,,2023 Market Street,,Harrisburg,PA,17103,,2023 Market Street,,Harrisburg,PA,17103,,Director,Ms,Vaidehi,,Dave,,(717)525-8034,,,,
300519930,21st Cent Chrst Ln C IN,"Other Private, Non-Licensed Entity",26,Philadelphia IU 26,Philadelphia,Open,07/06/1990,(215)389-4277,,,1253 S 18th St # 55,,Philadelphia,PA,19146,3046,1253 S 18th St # 55,,Philadelphia,PA,19146,3046,,,,,,,,,,,
226510012,21st Century Christian Academy,"Nonpublic, Non-Licensed School",26,Philadelphia IU 26,Philadelphia,Open,09/02/2006,(610)812-5166,,,1253 - 55 South 18th Street,,Philadelphia,PA,19146,,1253-55 South 18th Street,,Philadelphia,PA,19146,,Principal,Dr,John,B,Craig,,,,,,
312280001,21st Century Community Learning Center,Miscellaneous,12,Lincoln IU 12,Franklin,Open,03/31/2005,(717)262-0050,,,370A West Commerce Street,,Chambersburg,PA,17201,,370A West Commerce Street,,Chambersburg,PA,17201,,,,,,,,,,,,
